fuel-type,body-style,drive-wheels,wheel-base,curb-weight,num-of-cylinders,engine-size,horsepower,peak-rpm,city-mpg,highway-mpg,price
gas,hatchback,rwd,96,2734,four,119,90,5000,24,29,11048
gas,sedan,rwd,113,4066,six,258,176,4750,15,19,32250
gas,sedan,rwd,113,4066,six,258,176,4750,15,19,35550
gas,sedan,rwd,102,3950,twelve,326,262,5000,13,17,36000
gas,hatchback,fwd,93.1,1890,four,91,68,5000,30,31,5195
gas,hatchback,fwd,93.1,1900,four,91,68,5000,31,38,6095
gas,hatchback,fwd,93.1,1905,four,91,68,5000,31,38,6795
gas,sedan,fwd,93.1,1945,four,91,68,5000,31,38,6695
gas,sedan,fwd,93.1,1950,four,91,68,5000,31,38,7395
gas,hatchback,rwd,95.3,2380,two,70,101,6000,17,23,10945
gas,hatchback,rwd,95.3,2380,two,70,101,6000,17,23,11845
gas,hatchback,rwd,95.3,2385,two,70,101,6000,17,23,13645
gas,hatchback,rwd,95.3,2500,two,80,135,6000,16,23,15645
gas,hatchback,fwd,98.8,2385,four,122,84,4800,26,32,8845
gas,sedan,fwd,98.8,2410,four,122,84,4800,26,32,8495
gas,hatchback,fwd,98.8,2385,four,122,84,4800,26,32,10595
gas,sedan,fwd,98.8,2410,four,122,84,4800,26,32,10245
diesel,sedan,fwd,98.8,2443,four,122,64,4650,36,42,10795
gas,hatchback,fwd,98.8,2425,four,122,84,4800,26,32,11245
gas,sedan,rwd,104.9,2670,four,140,120,5000,19,27,18280
diesel,sedan,rwd,104.9,2700,four,134,72,4200,31,39,18344
diesel,sedan,rwd,110,3515,five,183,123,4350,22,25,25552
diesel,wagon,rwd,110,3750,five,183,123,4350,22,25,28248
diesel,hardtop,rwd,106.7,3495,five,183,123,4350,22,25,28176
diesel,sedan,rwd,115.6,3770,five,183,123,4350,22,25,31600
gas,sedan,rwd,115.6,3740,eight,234,155,4750,16,18,34184
gas,convertible,rwd,96.6,3685,eight,234,155,4750,16,18,35056
gas,sedan,rwd,120.9,3900,eight,308,184,4500,14,16,40960
gas,hardtop,rwd,112,3715,eight,304,184,4500,14,16,45400
gas,hatchback,rwd,102.7,2910,four,140,175,5000,19,24,16503
gas,hatchback,fwd,93.7,1918,four,92,68,5500,37,41,5389
gas,hatchback,fwd,93.7,1944,four,92,68,5500,31,38,6189
gas,hatchback,fwd,93.7,2004,four,92,68,5500,31,38,6669
gas,hatchback,fwd,93,2145,four,98,102,5500,24,30,7689
gas,hatchback,fwd,96.3,2370,four,110,116,5500,23,30,9959
gas,hatchback,fwd,96.3,2328,four,122,88,5000,25,32,8499
gas,hatchback,fwd,95.9,2833,four,156,145,5000,19,24,12629
gas,hatchback,fwd,95.9,2921,four,156,145,5000,19,24,14869
gas,hatchback,fwd,95.9,2926,four,156,145,5000,19,24,14489
gas,sedan,fwd,96.3,2365,four,122,88,5000,25,32,6989
gas,sedan,fwd,96.3,2405,four,122,88,5000,25,32,8189
gas,sedan,fwd,96.3,2403,four,110,116,5500,23,30,9279
gas,sedan,fwd,96.3,2403,four,110,116,5500,23,30,9279
gas,sedan,fwd,94.5,1889,four,97,69,5200,31,37,5499
diesel,sedan,fwd,94.5,2017,four,103,55,4800,45,50,7099
gas,sedan,fwd,94.5,1918,four,97,69,5200,31,37,6649
gas,sedan,fwd,94.5,1938,four,97,69,5200,31,37,6849
gas,wagon,fwd,94.5,2024,four,97,69,5200,31,37,7349
gas,sedan,fwd,94.5,1951,four,97,69,5200,31,37,7299
gas,hatchback,fwd,94.5,2028,four,97,69,5200,31,37,7799
gas,sedan,fwd,94.5,1971,four,97,69,5200,31,37,7499
gas,wagon,fwd,94.5,2037,four,97,69,5200,31,37,7999
gas,hardtop,fwd,95.1,2008,four,97,69,5200,31,37,8249
gas,hatchback,fwd,97.2,2324,four,120,97,5200,27,34,8949
gas,sedan,fwd,97.2,2302,four,120,97,5200,27,34,9549
gas,sedan,fwd,100.4,3095,six,181,152,5200,17,22,13499
gas,wagon,fwd,100.4,3296,six,181,152,5200,17,22,14399
gas,sedan,fwd,100.4,3060,six,181,152,5200,19,25,13499
gas,hatchback,rwd,91.3,3071,six,181,160,5200,19,25,17199
gas,hatchback,rwd,91.3,3139,six,181,200,5200,17,23,19699
gas,hatchback,rwd,99.2,3139,six,181,160,5200,19,25,18399
gas,sedan,rwd,107.9,3020,four,120,97,5000,19,24,11900
diesel,sedan,rwd,107.9,3197,four,152,95,4150,28,33,13200
gas,wagon,rwd,114.2,3230,four,120,97,5000,19,24,12440
diesel,wagon,rwd,114.2,3430,four,152,95,4150,25,25,13860
gas,sedan,rwd,107.9,3075,four,120,95,5000,19,24,15580
diesel,sedan,rwd,107.9,3252,four,152,95,4150,28,33,16900
gas,wagon,rwd,114.2,3285,four,120,95,5000,19,24,16695
diesel,wagon,rwd,114.2,3485,four,152,95,4150,25,25,17075
gas,sedan,rwd,107.9,3075,four,120,97,5000,19,24,16630
diesel,sedan,rwd,107.9,3252,four,152,95,4150,28,33,17950
gas,sedan,rwd,108,3130,four,134,142,5600,18,24,18150
gas,hatchback,fwd,93.7,1918,four,90,68,5500,37,41,5572
gas,hatchback,fwd,93.7,2128,four,98,102,5500,24,30,7957
gas,hatchback,fwd,93.7,1967,four,90,68,5500,31,38,6229
gas,sedan,fwd,93.7,1989,four,90,68,5500,31,38,6692
gas,sedan,fwd,93.7,2191,four,98,68,5500,31,38,7609
gas,wagon,fwd,103.3,2535,four,122,88,5000,24,30,8921
gas,hatchback,rwd,95.9,2818,four,156,145,5000,19,24,12764
gas,hatchback,rwd,94.5,2778,four,151,143,5500,19,27,22018
gas,hardtop,rwd,89.5,2756,six,194,207,5900,17,25,32528
gas,hardtop,rwd,89.5,2756,six,194,207,5900,17,25,34028
gas,convertible,rwd,89.5,2800,six,194,207,5900,17,25,37028
gas,hatchback,rwd,98.4,3366,eight,203,288,5750,17,28,?
gas,wagon,fwd,96.1,2579,four,132,?,?,23,31,9295
gas,hatchback,fwd,96.1,2460,four,132,?,?,23,31,9895
gas,hatchback,fwd,99.1,2658,four,121,110,5250,21,28,11850
gas,sedan,fwd,99.1,2695,four,121,110,5250,21,28,12170
gas,hatchback,fwd,99.1,2707,four,121,110,5250,21,28,15040
gas,sedan,fwd,99.1,2758,four,121,110,5250,21,28,15510
gas,hatchback,fwd,99.1,2808,four,121,160,5500,19,26,18150
gas,sedan,fwd,99.1,2847,four,121,160,5500,19,26,18620
gas,hatchback,fwd,93.7,2050,four,97,69,4900,31,36,5118
gas,hatchback,fwd,93.7,2120,four,108,73,4400,26,31,7053
gas,hatchback,4wd,93.3,2240,four,108,73,4400,26,31,7603
gas,sedan,fwd,97.2,2145,four,108,82,4800,32,37,7126
gas,sedan,fwd,97.2,2190,four,108,82,4400,28,33,7775
gas,sedan,fwd,97.2,2340,four,108,94,5200,26,32,9960
gas,sedan,4wd,97,2385,four,108,82,4800,24,25,9233
gas,sedan,4wd,97,2510,four,108,111,4800,24,29,11259
gas,wagon,fwd,97,2290,four,108,82,4800,28,32,7463
gas,wagon,fwd,97,2455,four,108,94,5200,25,31,10198
gas,wagon,4wd,96.9,2420,four,108,82,4800,23,29,8013
gas,wagon,4wd,96.9,2650,four,108,111,4800,23,23,11694
gas,hatchback,fwd,95.7,1985,four,92,62,4800,35,39,5348
gas,hatchback,fwd,95.7,2040,four,92,62,4800,31,38,6338
gas,hatchback,fwd,95.7,2015,four,92,62,4800,31,38,6488
gas,wagon,fwd,95.7,2280,four,92,62,4800,31,37,6918
gas,wagon,4wd,95.7,2290,four,92,62,4800,27,32,7898
gas,wagon,4wd,95.7,3110,four,92,62,4800,27,32,8778
gas,sedan,fwd,95.7,2081,four,98,70,4800,30,37,6938
gas,hatchback,fwd,95.7,2109,four,98,70,4800,30,37,7198
diesel,sedan,fwd,95.7,2275,four,110,56,4500,34,36,7898
diesel,hatchback,fwd,95.7,2275,four,110,56,4500,38,47,7788
gas,sedan,fwd,95.7,2094,four,98,70,4800,38,47,7738
gas,hatchback,fwd,95.7,2122,four,98,70,4800,28,34,8358
gas,sedan,fwd,95.7,2140,four,98,70,4800,28,34,9258
gas,sedan,rwd,94.5,2169,four,98,70,4800,29,34,8058
gas,hatchback,rwd,94.5,2204,four,98,70,4800,29,34,8238
gas,sedan,rwd,94.5,2265,four,98,112,6600,26,29,9298
gas,hatchback,rwd,94.5,2300,four,98,112,6600,26,29,9538
gas,hardtop,rwd,98.4,2540,four,146,116,4800,24,30,8449
gas,hardtop,rwd,98.4,2536,four,146,116,4800,24,30,9639
gas,hatchback,rwd,98.4,2551,four,146,116,4800,24,30,9989
gas,hardtop,rwd,98.4,2679,four,146,116,4800,24,30,11199
gas,hatchback,rwd,98.4,2714,four,146,116,4800,24,30,11549
gas,convertible,rwd,98.4,2975,four,146,116,4800,24,30,17669
gas,sedan,fwd,102.4,2326,four,122,92,4200,29,34,8948
diesel,sedan,fwd,102.4,2480,four,110,73,4500,30,33,10698
gas,hatchback,fwd,102.4,2414,four,122,92,4200,27,32,9988
gas,sedan,fwd,102.4,2414,four,122,92,4200,27,32,10898
gas,hatchback,fwd,102.4,2458,four,122,92,4200,27,32,11248
gas,hatchback,rwd,102.9,2976,six,171,161,5200,20,24,16558
gas,hatchback,rwd,102.9,3016,six,171,161,5200,19,24,15998
gas,sedan,rwd,104.5,3131,six,171,156,5200,20,24,15690
gas,wagon,rwd,104.5,3151,six,161,156,5200,19,24,15750
diesel,sedan,fwd,97.3,2261,four,97,52,4800,37,46,7775
gas,sedan,fwd,97.3,2209,four,109,85,5250,27,34,7975
diesel,sedan,fwd,97.3,2264,four,97,52,4800,37,46,7995
gas,sedan,fwd,97.3,2212,four,109,85,5250,27,34,8195
gas,sedan,fwd,97.3,2275,four,109,85,5250,27,34,8495
diesel,sedan,fwd,97.3,2319,four,97,68,4500,37,42,9495
gas,sedan,fwd,97.3,2300,four,109,100,5500,26,32,9995
gas,convertible,fwd,94.5,2254,four,109,90,5500,24,29,11595
gas,hatchback,fwd,94.5,2221,four,109,90,5500,24,29,9980
gas,sedan,fwd,100.4,2661,five,136,110,5500,19,24,13295
diesel,sedan,fwd,100.4,2579,four,97,68,4500,33,38,13845
gas,wagon,fwd,100.4,2563,four,109,88,5500,25,31,12290
gas,sedan,rwd,104.3,2912,four,141,114,5400,23,28,12940
gas,wagon,rwd,104.3,3034,four,141,114,5400,23,28,13415
gas,sedan,rwd,104.3,2935,four,141,114,5400,24,28,15985
gas,wagon,rwd,104.3,3042,four,141,114,5400,24,28,16515
gas,sedan,rwd,104.3,3045,four,130,162,5100,17,22,18420
gas,wagon,rwd,104.3,3157,four,130,162,5100,17,22,18950
gas,sedan,rwd,109.1,2952,four,141,114,5400,23,28,16845
gas,sedan,rwd,109.1,3049,four,141,160,5300,19,25,19045
gas,sedan,rwd,109.1,3012,six,173,134,5500,18,23,21485
diesel,sedan,rwd,109.1,3217,six,145,106,4800,26,27,22470
gas,sedan,rwd,109.1,3062,four,141,114,5400,19,25,22625
